"Valid Values","Description","source"
"touch receptor cell","Any neuron that is capable of some detection of mechanical stimulus involved in sensory perception of touch.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"auditory hair cell","A mechanoreceptor cell of the auditory or vestibular system that is sensitive to auditory stimuli. The accessory sensory structures are arranged so that appropriate stimuli cause movement of the hair-like projections (stereocilia and kinocilia) which relay the information centrally in the nervous system.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"gravity sensitive cell","Any neuronal receptor cell that is capable of some detection of mechanical stimulus involved in sensory perception.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"acceleration receptive cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"thermoreceptor cell","A cellular receptor which mediates the sense of temperature. Thermoreceptor cells in vertebrates are mostly located under the skin. In mammals there are separate types of thermoreceptors for cold and for warmth and pain receptor cells which detect cold or heat extreme enough to cause pain.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"chemoreceptor cell","A cell specialized to detect chemical substances and relay that information centrally in the nervous system. Chemoreceptors may monitor external stimuli, as in taste and olfaction, or internal stimuli, such as the concentrations of oxygen and carbon dioxide in the blood.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"pH receptor cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"taste receptor cell","A specialized cell involved in gustatory sensory perception. Synonyms: taste bud cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"photoreceptor cell","A cell specialized in detecting light stimuli that are involved in visual perception.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"electrically active cell","A cell whose function is determined by the generation or the reception of an electric signal.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"synovial cell","A cell located in the synovial joint. Synonyms: synoviocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"myelinating Schwann cell","A neuroglial cell of the peripheral nervous system which forms the insulating myelin sheaths of peripheral axons. Synonyms: neurilemmal cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"motile cell","A cell that moves by its own activities.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"ectodermal cell","A cell of the outer of the three germ layers of the embryo. Synonyms: ectoderm cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mesodermal cell","A cell of the middle germ layer of the embryo. Synonyms: mesoblast, mesoderm cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"endodermal cell","A cell of the inner of the three germ layers of the embryo. Synonyms: endoderm cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"anucleate cell","A cell that lacks a nucleus. Synonyms: non-nucleated cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"single nucleate cell","A cell with a single nucleus.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"binucleate cell","Any cell that has characteristic some binucleate.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"multinucleate cell","A cell with more than one nucleus. Synonyms: multinucleated cells, polynuclear cells","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"erythrocyte","A red blood cell. In mammals, mature erythrocytes are biconcave disks containing hemoglobin whose function is to transport oxygen. Synonyms: RBC, red blood cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"platelet","A non-nucleated disk-shaped cell formed by extrusion from megakaryocytes, found in the blood of all mammals, and mainly involved in blood coagulation. Synonyms: anucleate thrombocyte, blood platelet, enucleate thrombocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"phagocyte","Any cell capable of ingesting particulate matter via phagocytosis.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"macrophage","A mononuclear phagocyte present in variety of tissues, typically differentiated from monocytes, capable of phagocytosing a variety of extracellular particulate material, including immune complexes, microorganisms, and dead cells. Synonyms: histiocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"B cell","A lymphocyte of B lineage that is capable of B cell mediated immunity. Synonyms: B lymphocyte, B-cell, B-lymphocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"keratinizing barrier epithelial cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"non keratinizing barrier epithelial cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"brush border epithelial cell","An epithelial cell characterized by the presence of a brush border on its apical surface, which increases the surface area for absorption.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"stratified squamous epithelial cell","A stratified epithelial cell that is part of squamous epithelium, characterized by multiple layers of cells. The basal layer is directly attached to the basement membrane and the apical layer consists of flattened squamous cells. This provides a protective barrier, commonly found in areas subject to abrasion, such as the skin, oral cavity, and esophagus.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"stratified cuboidal epithelial cell","A stratified epithelial cell that is part of cuboidal epithelium, characterized by multiple layers of cuboidal cells forming the apical layer. This provides a protective lining for ducts in large glands, such as sweat glands.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Merkel cell","A specialized epithelial cell located in the skin epidermis and certain mucosal epithelia. It functions as a mechanoreceptor for light touch by forming synapse-like contacts with somatosensory afferent nerve endings, contributing to slowly adapting type I (SAI) tactile responses. Characterized by dense-core neuroendocrine granules, the Merkel cell exhibits both sensory and neuroendocrine properties, including regulated neurotransmitter release via SNARE complex-dependent mechanisms. Its development in mice depends on the transcription factor Atoh1. Synonyms: Merkel's cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"transitional epithelial cell","A cell characteristically found lining hollow organs that are subject to great mechanical change due to contraction and distention; originally thought to represent a transition between stratified squamous and columnar epithelium.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"hatching gland cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"extramedullary cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"eurydendroid cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"eukaryotic cell","Any cell that in taxon some Eukaryota.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"uric acid accumulating cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"eye photoreceptor cell","Any photoreceptor cell that is part of some eye.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"somatotropin secreting cell","A peptide hormone secreting cell that produces growth hormone, somatotropin. Synonyms: growth hormone secreting cell, somatotrophin secreting cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"gamete","A mature sexual reproductive cell having a single set of unpaired chromosomes. Synonyms: haploid nucleated cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"crystallin accumulating cell","Synonyms: lens cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"tracheal epithelial cell","An epithelial cell found in the trachea. Synonyms: tracheocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"metal ion accumulating cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"copper accumulating cell","Synonyms: cuprophilic cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"iron accumulating cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"keratin accumulating cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"keratinocyte","An epithelial cell of stratified squamous tissues, including skin, oral mucosa (Hiroshima et al., 2011), and esophagus (Whelan et al., 2018), that produces keratin proteins and secretes antimicrobial peptides to form a resilient barrier against environmental damage, dehydration, pathogens, and microbial invasion. It undergoes successive stages of differentiation marked by changes in keratin expression, supporting tissue integrity, wound repair, and contributing to immune defense.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"serous secreting cell","Columnar glandular cell with irregular nucleus, copious granular endoplasmic reticulum and supranuclear granules. Secretes a watery fluid containing proteins known as serous fluid. Synonyms: serous cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"milk secreting cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"tear secreting cell","A cell secreting tears, the fluid secreted by the lacrimal glands. This fluid moistens the conjunctiva and cornea. Synonyms: tears secreting cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"sebocyte","An epithelial cell that is part of a sebaceous gland. This cell produces and secretes sebum, an oily, lipid-rich substance, through holocrine secretion where the entire cell ruptures to release its contents. Synonyms: sebum secreting cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"sweat secreting cell","A cell secreting sweat, the fluid excreted by the sweat glands of mammals. It consists of water containing sodium chloride, phosphate, urea, ammonia, and other waste products.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mucus secreting cell","Any cell that is capable of some mucus secretion. Synonyms: mucous cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"pulmonary alveolar epithelial cell","An epithelial cell that lines the peripheral gas exchange region of the lungs of air-breathing vertebrates. Synonyms: alveolar epithelial cell, alveolus of lung epithelial cell, epithelial cell of alveolus of lung, pneumocyte, pneumonocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"lysozyme secreting cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"metanephric mesenchyme stem cell",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"stuff accumulating cell","A cell that is specialised to accumulate a particular substance(s).","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
